t, pose_x, pose_y, pose_theta, linear_displacement, linear_velocity, profile_displacement, profile_velocity, velocity_command_dx, velocity_command_dy, velocity_command_dtheta, steering_command_dx, steering_command_dy, steering_command_dtheta, cross_track_error, along_track_error, lookahead_point_x, lookahead_point_y, lookahead_point_velocity
2.2699999999999956, 55.0, 188.40847805803364, 1.5707963267948966, 170.40847805803367, 90.08861160478176, 170.51065874005715, 90.0, 90.08799018710292, 0.0, 0.0, 176.81695611606727, 0.0, 0.0, 80.40847805803364, 0.10218068202348718, 55.0, 11.591521941966363, 71.98586851647988
2.2799999999999954, 55.0, 189.30935795990467, 1.5707963267948966, 171.3093579599047, 90.08799018710292, 171.41065874005713, 90.0, 90.08737307928723, 0.0, 0.0, 178.61871591980935, 0.0, 0.0, 81.30935795990467, 0.10130078015242816, 55.0, 10.690642040095327, 70.46810689682871
2.289999999999995, 55.0, 190.21023169069755, 1.5707963267948966, 172.21023169069758, 90.08737307928723, 172.3106587400571, 90.0, 90.08676025146369, 0.0, 0.0, 180.4204633813951, 0.0, 0.0, 82.21023169069755, 0.10042704935952429, 55.0, 9.789768309302445, 68.9169383695517
2.299999999999995, 55.0, 191.1110992932122, 1.5707963267948966, 173.11109929321222, 90.08676025146369, 173.21065874005708, 90.0, 90.08615167396822, 0.0, 0.0, 182.22219858642438, 0.0, 0.0, 83.11109929321219, 0.0995594468448644, 55.0, 8.888900706787808, 67.330053985045
2.3099999999999947, 55.0, 192.0119608099519, 1.5707963267948966, 174.01196080995192, 90.08615167396822, 174.11065874005706, 90.0, 90.08554731734237, 0.0, 0.0, 184.02392161990377, 0.0, 0.0, 84.01196080995189, 0.09869793010514627, 55.0, 7.988039190048113, 65.70486592035287
2.3199999999999945, 55.0, 192.91281628312532, 1.5707963267948966, 174.91281628312535, 90.08554731734237, 175.01065874005704, 90.0, 90.08494715233188, 0.0, 0.0, 185.82563256625065, 0.0, 0.0, 84.91281628312532, 0.09784245693168714, 55.0, 7.0871837168746765, 64.0384579143652
2.3299999999999943, 55.0, 193.81366575464864, 1.5707963267948966, 175.81366575464867, 90.08494715233188, 175.91065874005702, 90.0, 90.08435114988521, 0.0, 0.0, 187.62733150929728, 0.0, 0.0, 85.81366575464864, 0.09699298540834889, 55.0, 6.186334245351361, 62.3275237666661
2.339999999999994, 55.0, 194.7145092661475, 1.5707963267948966, 176.71450926614753, 90.08435114988521, 176.810658740057, 90.0, 90.08375928115214, 0.0, 0.0, 189.429018532295, 0.0, 0.0, 86.7145092661475, 0.09614947390946327, 55.0, 5.285490733852498, 60.568290186570394
2.349999999999994, 55.0, 195.61534685895901, 1.5707963267948966, 177.61534685895904, 90.08375928115214, 177.71065874005697, 90.0, 90.08317151748248, 0.0, 0.0, 191.23069371791803, 0.0, 0.0, 87.61534685895901, 0.09531188109792765, 55.0, 4.384653141040985, 58.756418831050595
2.3599999999999937, 55.0, 196.51617857413385, 1.5707963267948966, 178.51617857413387, 90.08317151748248, 178.61065874005695, 90.0, 90.08258783042452, 0.0, 0.0, 193.0323571482677, 0.0, 0.0, 88.51617857413385, 0.0944801659230734, 55.0, 3.4838214258661537, 56.886880229169506
2.3699999999999934, 55.0, 197.41700445243808, 1.5707963267948966, 179.4170044524381, 90.08258783042452, 179.51065874005693, 90.0, 90.08200819172376, 0.0, 0.0, 194.83400890487616, 0.0, 0.0, 89.41700445243808, 0.09365428761881844, 55.0, 2.5829955475619215, 54.953789054212265
2.3799999999999932, 55.0, 198.3178245343553, 1.5707963267948966, 180.31782453435534, 90.08200819172376, 180.4106587400569, 90.0, 90.08143257332155, 0.0, 0.0, 196.63564906871062, 0.0, 0.0, 90.31782453435531, 0.09283420570156409, 55.0, 1.68217546564469, 52.950185190938896
2.389999999999993, 55.0, 199.21863886008853, 1.5707963267948966, 181.21863886008856, 90.08143257332155, 181.31065874005688, 90.0, 90.08086094735366, 0.0, 0.0, 198.43727772017706, 0.0, 0.0, 91.21863886008853, 0.09201987996831917, 55.0, 0.7813611399114677, 50.86773705973907
2.399999999999993, 55.0, 200.11944746956206, 1.5707963267948966, 182.1194474695621, 90.08086094735366, 182.21065874005686, 90.0, 90.080293286149, 0.0, 0.0, 200.23889493912412, 0.0, 0.0, 92.11944746956206, 0.0912112704947674, 55.0, -0.11944746956206131, 48.69633053223933
2.4099999999999926, 55.0, 201.02025040242356, 1.5707963267948966, 183.02025040242359, 90.080293286149, 183.11065874005683, 90.0, 90.07972956222824, 0.0, 0.0, 202.0405008048471, 0.0, 0.0, 93.02025040242356, 0.0904083376332494, 55.0, -1.0202504024235566, 46.42348439549046
2.4199999999999924, 55.0, 201.92104769804584, 1.5707963267948966, 183.92104769804587, 90.07972956222824, 184.0106587400568, 90.0, 90.07916974830253, 0.0, 0.0, 203.84209539609168, 0.0, 0.0, 93.92104769804584, 0.08961104201094372, 55.0, -1.9210476980458395, 44.03349353014135
2.429999999999992, 55.0, 202.82183939552885, 1.5707963267948966, 184.82183939552888, 90.07916974830253, 184.9106587400568, 90.0, 90.07861381727213, 0.0, 0.0, 205.6436787910577, 0.0, 0.0, 94.82183939552885, 0.08881934452790574, 55.0, -2.8218393955288548, 41.506126596841995
2.439999999999992, 55.0, 203.72262553370157, 1.5707963267948966, 185.7226255337016, 90.07861381727213, 185.81065874005677, 90.0, 90.07806174222507, 0.0, 0.0, 207.44525106740315, 0.0, 0.0, 95.72262553370157, 0.08803320635516343, 55.0, -3.7226255337015743, 38.814557474118175
2.4499999999999917, 55.0, 204.62340615112382, 1.5707963267948966, 186.62340615112385, 90.07806174222507, 186.71065874005674, 90.0, 90.07751349643601, 0.0, 0.0, 209.24681230224763, 0.0, 0.0, 96.62340615112382, 0.08725258893289833, 55.0, -4.623406151123817, 35.92189476809769
2.4599999999999915, 55.0, 205.52418128608818, 1.5707963267948966, 187.5241812860882, 90.07751349643601, 187.61065874005672, 90.0, 90.07696905336468, 0.0, 0.0, 211.04836257217636, 0.0, 0.0, 97.52418128608818, 0.08647745396851292, 55.0, -5.524181286088179, 32.774936938746905
2.4699999999999913, 55.0, 206.42495097662183, 1.5707963267948966, 188.42495097662186, 90.07696905336468, 188.5106587400567, 90.0, 90.07642838665488, 0.0, 0.0, 212.84990195324366, 0.0, 0.0, 98.42495097662183, 0.08570776343483999, 55.0, -6.42495097662183, 29.291837866729374
2.479999999999991, 55.0, 207.32571526048838, 1.5707963267948966, 189.3257152604884, 90.07642838665488, 189.41065874005668, 90.0, 90.07589147013302, 0.0, 0.0, 214.65143052097676, 0.0, 0.0, 99.32571526048838, 0.08494347956826687, 55.0, -7.32571526048838, 25.33433120259521
2.489999999999991, 55.0, 208.2264741751897, 1.5707963267948966, 190.22647417518974, 90.07589147013302, 190.31065874005665, 90.0, 90.07535827780691, 0.0, 0.0, 216.45294835037942, 0.0, 0.0, 100.22647417518971, 0.08418456486691639, 55.0, -8.226474175189708, 20.631194777677578
2.4999999999999907, 55.0, 209.12722775796777, 1.5707963267948966, 191.1272277579678, 90.07535827780691, 191.21065874005663, 90.0, 90.07482878386449, 0.0, 0.0, 218.25445551593555, 0.0, 0.0, 101.12722775796777, 0.08343098208882793, 55.0, -9.127227757967773, 14.47291740070861
2.5099999999999905, 55.0, 210.0279760458064, 1.5707963267948966, 192.02797604580644, 90.07482878386449, 192.1106587400566, 90.0, 90.07430296267262, 0.0, 0.0, 118.00000000000001, 0.0, 0.0, 102.02797604580641, 0.08268269425016683, 55.0, -10.027976045806412, 2.8421709430404007E-14
2.5199999999999902, 55.0, 210.92871907543315, 1.5707963267948966, 192.92871907543318, 90.07430296267262, 193.01065874005658, 90.0, 90.07378078877576, 0.0, 0.0, 118.00000000000001, 0.0, 0.0, 102.02797604580641, 0.0819396646234054, 55.0, -10.027976045806412, 2.8421709430404007E-14
2.52999999999999, 55.0, 211.82945688332092, 1.5707963267948966, 193.82945688332094, 90.07378078877576, 193.91065874005656, 90.0, 90.07326223689488, 0.0, 0.0, 118.00000000000001, 0.0, 0.0, 102.02797604580641, 0.08120185673561764, 55.0, -10.027976045806412, 2.8421709430404007E-14
2.53999999999999, 55.0, 212.73018950568985, 1.5707963267948966, 194.73018950568988, 90.07326223689488, 194.81065874005654, 90.0, 90.0727472819261, 0.0, 0.0, 118.00000000000001, 0.0, 0.0, 102.02797604580641, 0.0804692343666602, 55.0, -10.027976045806412, 2.8421709430404007E-14
2.5499999999999896, 55.0, 213.6309169785091, 1.5707963267948966, 195.63091697850913, 90.0727472819261, 195.71065874005652, 90.0, 90.07223589893947, 0.0, 0.0, 118.00000000000001, 0.0, 0.0, 102.02797604580641, 0.07974176154738188, 55.0, -10.027976045806412, 2.8421709430404007E-14
2.5599999999999894, 55.0, 214.5316393374985, 1.5707963267948966, 196.53163933749852, 90.07223589893947, 196.6106587400565, 90.0, 90.07172806317791, 0.0, 0.0, 118.00000000000001, 0.0, 0.0, 102.02797604580641, 0.07901940255797513, 55.0, -10.027976045806412, 2.8421709430404007E-14
2.569999999999989, 55.0, 215.43235661813026, 1.5707963267948966, 197.43235661813029, 90.07172806317791, 197.51065874005647, 90.0, 90.07122375005588, 0.0, 0.0, 118.00000000000001, 0.0, 0.0, 102.02797604580641, 0.07830212192618546, 55.0, -10.027976045806412, 2.8421709430404007E-14
2.579999999999989, 55.0, 216.3330688556308, 1.5707963267948966, 198.33306885563084, 90.07122375005588, 198.41065874005645, 90.0, 90.07072293515823, 0.0, 0.0, 118.00000000000001, 0.0, 0.0, 102.02797604580641, 0.07758988442560621, 55.0, -10.027976045806412, 2.8421709430404007E-14
2.5899999999999888, 55.0, 217.2337760849824, 1.5707963267948966, 199.23377608498242, 90.07072293515823, 199.31065874005643, 90.0, 90.070225594239, 0.0, 0.0, 118.00000000000001, 0.0, 0.0, 102.02797604580641, 0.0768826550740016, 55.0, -10.027976045806412, 2.8421709430404007E-14
2.5999999999999885, 55.0, 218.13447834092477, 1.5707963267948966, 200.1344783409248, 90.070225594239, 200.2106587400564, 90.0, 90.06973170322031, 0.0, 0.0, 118.00000000000001, 0.0, 0.0, 102.02797604580641, 0.07618039913160146, 55.0, -10.027976045806412, 2.8421709430404007E-14
